source,content,tag
4,##mıyor,0
4,çok,0
4,acil,0
4,yardım,0
4,gitmesi,0
4,gerekiyor,0
4,lütfen,0
4,duyur,0
4,##alım,0
4,af,0
4,##ad,0
4,af,1
4,##ad,2
4,##hat,2
4,##ay,2
4,deprem,0
4,turk,3
4,##ey,4
4,enkaz,0
4,##altında,0
4,[SEP],0
5,[CLS],0
5,arkadaşlar,0
5,lütfen,0
5,yardım,0
5,edin,0
5,lütfen,0
5,r,0
5,##t,0
5,arkadaşımız,0
5,sen,5
5,##a,6
5,koç,6
5,ve,0
5,ailesine,0
5,ulaş,0
5,##amıyoruz,0
5,saray,3
5,##kent,4
5,mah,4
5,280,4
5,##so,4
5,##ka,4
5,##k,4
5,teras,4
5,ant,4
5,##ak,4
5,##ya,4
5,evleri,4
5,kat,4
5,5,4
5,daire,4
5,20,4
5,hata,1
5,##yan,2
5,##tak,4
5,##ya,4
5,turk,4
5,##ey,4
5,hata,1
5,##yy,2
5,##ardı,0
5,##m,0
5,##bek,0
5,##liyor,0
5,pr,0
5,##ay,0
5,##for,0
5,##tur,0
5,##key,0
5,turk,0
5,##eye,0
5,##arth,0
5,##qu,0
5,##ake,0
5,af,0
5,##ad,0
5,hel,0
5,##pt,0
5,##urk,0
5,##ey,0
5,deprem,3
5,##hat,4
5,##ay,4
5,hata,1
5,##y,2
5,hata,1
5,##y,2
5,##de,0
5,##pr,0
5,##emi,4
5,[SEP],0
6,[CLS],6
6,is,3
6,##kender,4
6,##un,4
6,çay,4
6,mahallesi,4
6,osman,4
6,##gazi,4
6,cadde,4
6,##si,4
6,dönme,4
6,##z,4
6,durağı,0
6,yani,0
6,or,3
6,##can,4
6,apartman,4
6,##ı,4
6,ihsan,5
6,özer,6
6,ber,5
6,##kan,6
6,özer,6
6,ki,0
6,##fa,0
6,##yet,0
6,bek,0
6,##çi,6
6,peri,5
6,##han,6
6,or,6
6,##can,6
6,metin,5
6,or,6
6,##can,6
6,dün,0
6,gecede,0
6,##n,0
6,beri,0
6,haber,0
6,alına,0
6,##mıyor,0
6,çok,0
6,acil,0
6,yardım,0
6,gitmesi,0
6,gerekiyor,0
6,lütfen,0
6,duyur,0
6,##alım,0
6,af,0
6,##ad,0
6,af,1
6,##ad,2
6,##hat,2
6,##ay,2
6,deprem,0
6,turk,3
6,##ey,4
6,enkaz,0
6,##altında,0
6,[SEP],0
7,[CLS],0
7,güzel,3
7,##yurt,4
7,mahallesi,4
7,na,4
7,##car,4
7,##lar,4
7,küme,4
7,evleri,4
7,dul,4
7,##kadir,4
7,##oğlu,4
7,kahraman,1
7,##maraş,2
7,lütfen,0
7,yetiş,0
7,##in,0
7,yalvar,0
7,##ıyorum,0
7,##tur,0
7,##key,0
7,kahraman,1
7,##mara,2
7,##s,2
7,##de,0
7,##pr,0
7,##emi,0
7,af,0
7,##ad,0
7,deprem,0
7,seferber,0
7,##lik,0
7,dul,3
7,##kadir,4
7,##oğlu,4
7,hal,3
7,##ükle,4
7,##vent,4
7,##acı,4
7,##l,4
7,[SEP],0
8,[CLS],1
8,adres,0
8,##gazi,1
8,##antep,2
8,##nur,3
8,##dağı,4
8,yeni,4
8,mahalle,4
8,##jan,4
8,##dar,4
8,##ma,4
8,emr,4
8,##ah,4
8,çetin,4
8,cadde,4
8,##sin,4
8,##o,4
8,##19,4
8,sonda,0
8,##ki,4
8,##ka,0
8,deprem,0
8,turk,0
8,##ey,0
8,enkaz,0
8,##altında,0
8,##yım,0
8,enkaz,0
8,##altında,0
8,##yım,0
8,pr,0
8,##ay,0
8,##for,0
8,##tur,0
8,##key,0
8,seferber,0
8,##lik,0
8,türkiye,0
8,deprem,0
8,yardım,0
8,##elin,0
8,yardım,0
8,hata,1
8,##y,2
8,##de,0
8,##pr,0
8,##emi,0
8,af,0
8,##ad,0
8,af,1
8,##ad,0
8,##hat,2
8,##ay,2
8,mar,1
8,##aş,2
8,kahraman,1
8,##mara,2
8,##saf,0
8,##ad,2
8,gazi,1
8,##antep,2
8,nur,3
8,##dağı,4
8,[SEP],0
9,[CLS],0
9,arkadaşımız,0
9,##a,0
9,ulaş,0
9,##amıyoruz,0
9,eş,5
9,##me,6
9,gök,6
9,##kaya,6
9,kahraman,1
9,##maraş,2
9,türk,3
9,##oğlu,4
9,ilçesi,0
9,bey,3
9,##oğlu,4
9,mahallesi,4
9,in,4
9,##önü,4
9,cadde,4
9,##si,4
9,küme,4
9,evleri,4
9,yardım,0
9,kahraman,1
9,##maraş,2
9,turk,3
9,##ey,4
9,af,0
9,##ad,0
9,[SEP],0
10,[CLS],6
10,hayr,3
10,##ullah,4
10,mahallesi,4
10,malik,4
10,e,4
10,##jder,4
10,cadde,4
10,##si,4
10,no,4
10,65,4
10,46,4
10,##04,4
10,##0,4
10,kahraman,1
10,##maraş,2
10,merkez,0
10,burç,5
10,##in,6
10,günde,6
10,##ş,6
10,##li,6
10,hat,5
10,##ice,6
10,günde,6
10,##ş,6
10,##li,6
10,bur,5
10,##ak,6
10,günde,6
10,##ş,6
10,##li,6
10,ilk,0
10,deprem,0
10,anında,0
10,##n,0
10,beri,0
10,haber,0
10,alın,0
10,##ılma,0
10,##maktadır,0
10,duyan,0
10,bilen,0
10,gören,0
10,varsa,0
10,yardımcı,0
10,olsun,0
10,lütfen,0
10,on,3
10,##iki,4
10,##şu,4
10,##bat,4
10,turk,3
10,##ey,4
10,deprem,0
10,sonda,0
10,##ki,0
10,##ka,0
10,##de,0
10,##pr,0
10,##em,0
10,seferber,0
10,##lik,0
10,af,0
10,##ad,0
10,[SEP],0
11,[CLS],1
11,elbis,1
11,##tan,4
11,esen,3
11,##tepe,4
11,has,4
11,##an,4
11,bakkal,4
11,##ın,4
11,yanına,0
11,uğra,0
11,##yabil,0
11,##irsiniz,0
11,çadır,0
11,kurulu,0
11,so,0
11,##ba,0
11,yak,0
11,##ılmış,0
11,sabaha,0
11,kadar,0
11,idare,0
11,edilebilir,0
11,elbis,3
11,##tan,4
11,deprem,0
11,##old,0
11,##u,0
11,pazar,3
11,##cık,4
11,kahraman,1
11,##maraş,2
11,e,0
11,##arth,4
11,##qu,4
11,##ake,4
11,deprem,0
11,elbis,1
11,##tan,2
11,##de,0
11,##pr,0
11,##em,0
11,hata,1
11,##yy,2
11,##ardı,0
11,##m,0
11,##bek,0
11,##liyor,0
11,seferber,0
11,##lik,0
11,af,0
11,##ad,0
11,hata,1
11,##y,2
11,##de,0
11,##pr,0
11,##emi,0
11,[SEP],0
12,[CLS],6
12,kahraman,1
12,##maraş,2
12,eb,3
12,##rar,4
12,sitesi,4
12,l,4
12,blok,4
12,kat,4
12,gök,5
12,##han,6
12,yıldırım,6
12,eşi,0
12,es,5
12,##ra,6
12,yıldırım,6
12,ve,0
12,2,0
12,çocukları,0
12,gök,5
12,##han,6
12,yıldırım,6
12,eli,5
12,##sa,6
12,yıldırım,6
12,haber,0
12,alına,0
12,##mıyor,0
12,lütfen,0
12,yaya,0
12,##lım,0
12,af,1
12,##ad,2
12,deprem,0
12,deprem,0
12,##old,0
12,##u,0
12,turk,3
12,##ey,0
12,yardım,0
12,##elin,0
12,enkaz,0
12,##altında,0
12,##yım,0
12,[SEP],0
13,[CLS],0
13,adı,1
13,##yaman,2
13,merkez,0
13,atatürk,3
13,bul,4
13,##varı,4
13,bahçe,4
13,##lie,4
13,##vler,4
13,bul,4
13,##varı,4
13,dilek,4
13,apartman,4
13,##ı,4
13,no,4
13,##33,4
13,##4,4
13,bina,4
13,depremin,0
13,ilk,0
13,saatlerinde,0
13,##n,0
13,bu,0
13,yana,0
13,kadar,0
13,haber,0
13,alına,0
13,##mıyor,0
13,af,0
13,##ad,0
13,ekipleri,0
13,##n,0
13,yardımına,0
13,ihtiyacımız,0
13,var,0
13,af,0
13,##ad,0
13,adı,1
13,##yaman,2
13,deprem,0
13,hal,0
13,##ükle,0
13,##vent,4
13,##acı,0
13,##l,4
13,oğ,5
13,##uz,6
13,##han,6
13,##ug,6
13,##ür,6
13,turk,0
13,##ey,4
13,pr,0
13,##ay,0
13,##for,0
13,##tur,0
13,##key,0
13,[SEP],0
14,[CLS],0
14,can,5
14,##su,6
14,cem,6
14,##re,6
14,ada,6
14,##k,6
14,eski,0
14,saray,4
14,mahallesi,4
14,hüs,4
14,##eyin,4
14,rah,4
14,##mi,4
14,gür,4
14,##pınar,4
14,cadde,4
14,##si,4
14,orman,4
14,binası,0
14,arkası,0
14,saray,3
14,apartman,4
14,##ı,4
14,adı,1
14,##yaman,2
14,merkez,0
14,arkadaşımız,0
14,enkaz,0
14,altında,0
14,saatler,0
14,##dir,0
14,ulaş,0
14,##amıyoruz,0
14,deprem,0
14,turk,0
14,##ey,0
14,af,0
14,##ad,0
14,af,0
14,##ad,0
14,##başkan,0
14,##lık,0
14,[SEP],0
15,[CLS],0
15,deprem,0
15,20,0
15,##21,0
15,saat,0
15,##tir,0
15,haber,0
15,alına,0
15,##mıyor,0
15,merkez,0
15,yeşil,3
15,##yurt,4
15,mah,4
15,yeşil,4
15,##yurt,4
15,cad,4
15,212,4
15,##5,4
15,sk,4
15,gümüş,4
15,##ken,4
15,a,0
15,ve,0
15,b,0
15,blok,0
15,##lar,0
15,çök,0
15,##müş,0
15,c,0
15,blok,0
15,çök,0
15,##mek,0
15,üzere,0
15,enkaz,0
15,altında,0
15,kalan,0
15,##la,0
15,var,0
15,lütfen,0
15,yardım,0
15,edin,0
15,af,0
15,##ad,0
15,gelmedi,0
15,halk,0
15,kendi,0
15,kurtarmaya,0
15,çalışıyor,0
15,af,1
15,##ada,2
15,##dı,2
15,##yaman,2
15,turk,4
15,##ey,4
15,turk,0
15,##eye,0
15,##arth,0
15,##qu,0
15,##ake,0
15,aç,0
15,##ilya,0
15,##rd,0
15,##ım,0
15,[SEP],0
16,[CLS],0
16,olursunuz,0
16,yardım,0
16,edin,0
16,kahraman,1
16,##maraş,2
16,sah,3
16,##ra,4
16,otelde,0
16,olan,0
16,akraba,0
16,##mız,0
16,bey,5
16,##tu,6
16,##llah,6
16,dal,6
16,##aya,6
16,ulaş,0
16,##amıyoruz,0
16,hiçbir,0
16,haber,0
16,yok,0
16,bölgede,0
16,olan,0
16,arkadaşlar,0
16,ne,0
16,olur,0
16,yardımcı,0
16,olun,0
16,paylaş,0
16,##ın,0
16,lütfen,0
16,af,0
16,##ad,0
16,kahraman,1
16,##maraş,2
16,deprem,0
16,seferber,0
16,##lik,0
16,yardım,0
16,turk,0
16,##ey,0
16,cel,5
16,##al,6
16,##sen,6
16,##gör,6
16,fat,5
16,##ma,6
16,##şah,6
16,##in,6
16,sonda,0
16,##ki,0
16,##ka,0
16,##de,0
16,##pr,0
16,##em,0
16,af,0
16,##ad,0
16,[SEP],0
17,[CLS],0
17,lütfen,0
17,sesi,0
17,##mi,0
17,duyan,0
17,var,0
17,mı,0
17,ün,3
17,##al,4
17,otel,0
17,yık,0
17,##ılmış,0
17,kimse,0
17,gitmedi,0
17,içeride,0
17,yaşıyor,0
17,##lar,0
17,lütfen,0
17,adı,1
17,##yaman,2
17,adı,1
17,##yaman,2
17,##afa,1
17,##d,0
17,turk,4
17,##ey,4
17,akut,0
17,_,0
17,derneği,0
17,af,0
17,##ad,0
17,##başkan,2
17,##lık,2
17,[SEP],0
18,[CLS],0
18,hata,1
18,##y,2
18,is,3
18,##kender,4
18,##un,4
18,kurtuluş,4
18,mah,4
18,79,4
18,nolu,4
18,sokak,4
18,no,4
18,1,4
18,piş,4
18,##kin,4
18,apartman,4
18,##ı,4
18,bir,0
18,anne,0
18,ve,0
18,bir,0
18,baba,0
18,enkaz,0
18,altında,0
18,lütfen,0
18,yardım,0
18,edin,0
18,vinç,0
18,gönderilmesi,0
18,##ni,0
18,bekliyor,0
18,##lar,0
18,lütfen,0
18,yardım,0
18,edin,0
18,deprem,0
18,af,0
18,##ad,0
18,hata,1
18,##yy,0
18,##ardı,0
18,##m,0
18,##bek,0
18,##liyor,0
18,seferber,0
18,##lik,0
18,turk,1
18,##ey,2
18,[SEP],0
19,[CLS],0
19,hata,1
19,##y,2
19,ant,3
19,##ak,4
19,##ya,4
19,akadem,4
19,##i,4
19,hastanesi,4
19,yanında,4
19,oda,3
19,##başı,4
19,mah,4
19,102,4
19,##7,4
19,şok,4
19,bulut,4
19,ap,4
19,##t,4
19,daire,4
19,4,4
19,daire,4
19,11,0
19,arkadaşım,0
19,oğ,5
19,##uz,6
19,öl,6
19,##mez,6
19,ve,0
19,eşi,0
19,hac,5
19,##er,6
19,öl,6
19,##mez,6
19,ulaş,0
19,##amıyoruz,0
19,lütfen,0
19,haberi,0
19,olan,0
19,duyan,0
19,biri,0
19,varsa,0
19,bilgi,0
19,versin,0
19,hata,1
19,##y,2
19,deprem,0
19,hata,0
19,##yy,0
19,##ardı,0
19,##m,0
19,##bek,0
19,##liyor,0
19,af,0
19,##ad,0
19,turk,0
19,##ey,0
19,hel,0
19,##pt,0
19,##urk,0
19,##ey,0
19,[SEP],0
20,[CLS],0
20,elbis,3
20,##tan,4
20,ölüme,0
20,terk,0
20,edilmiş,0
20,durumda,0
20,af,1
20,##ad,2
20,kızıl,3
20,##ay,4
20,um,3
20,##ke,4
20,ib,4
20,##b,2
20,ah,3
20,##bap,4
20,e,4
20,##arth,4
20,##qu,4
20,##ake,4
20,[SEP],0
21,[CLS],6
21,mar,1
21,##mara,4
21,jap,3
21,##onya,4
21,cel,5
21,##al,6
21,şen,6
21,##gör,6
21,13,0
21,şubat,0
21,deprem,0
21,kahraman,1
21,##maraş,2
21,hata,1
21,##y,2
21,f,0
21,##ox,0
21,tv,0
21,ant,4
21,##ak,4
21,##ya,4
21,hata,1
21,##y,2
21,kırık,3
21,##han,4
21,ulaş,0
21,##amıyoruz,0
21,6,0
21,hata,1
21,##y,2
21,göl,3
21,##cük,4
21,ordu,0
21,adı,1
21,##yaman,2
21,iğrenç,0
21,##siniz,0
21,fat,5
21,##ma,6
21,şah,6
21,##in,6
21,neredeyse,0
21,24,0
21,ordu,0
21,b,0
21,blok,0
21,3,0
21,asker,0
21,ne,0
21,olur,0
21,konya,1
21,dil,5
21,##ara,6
21,akar,6
21,af,1
21,##ad,0
21,pr,0
21,##ay,0
21,##for,0
21,##tur,0
21,##key,4
21,sonda,4
21,##ki,4
21,##ka,4
21,##de,4
21,##pr,4
21,##em,4
21,turk,4
21,##ey,4
21,türkiye,3
21,[SEP],0
22,[CLS],1
22,hata,1
22,##y,2
22,ant,3
22,##ak,4
22,##ya,4
22,güzel,4
22,##bur,4
22,##ç,4
22,mahallesi,4
22,ner,4
22,##gi,4
22,##s,4
22,sokak,4
22,arkadaşım,0
22,tek,0
22,başına,0
22,ailesi,0
22,oldu,0
22,soğuk,0
22,##tan,0
22,ölmek,0
22,üzere,0
22,lütfen,0
22,yardım,0
22,edin,0
22,birbirimize,0
22,ses,0
22,olalım,0
22,ne,0
22,kadar,0
22,r,0
22,##t,0
22,o,0
22,kadar,0
22,destek,0
22,deprem,0
22,turk,0
22,##ey,0
22,enkaz,0
22,##altında,0
22,##yım,0
22,hata,1
22,##y,2
22,##de,0
22,##pr,0
22,##em,0
22,o,0
22,##hal,0
22,seferber,0
22,##lik,0
22,elbis,3
22,##tan,4
22,hata,1
22,##yy,2
22,##ardı,0
22,##m,0
22,##bek,0
22,##liyor,0
22,af,0
22,##ad,0
22,hata,1
22,##y,2
22,[SEP],0
23,[CLS],1
23,sonda,1
23,##ki,2
23,##ka,2
23,ant,3
23,##ak,4
23,##ya,4
23,eki,4
23,##n,4
23,##ci,4
23,mahallesi,4
23,güneş,4
23,cadde,4
23,##si,4
23,ibr,4
23,##ahim,4
23,eli,4
23,##f,4
23,apartman,4
23,##ına,4
23,vinç,0
23,bekleniyor,0
23,ah,0
23,##bap,0
23,af,0
23,##ad,0
23,ah,0
23,##bap,0
23,##acı,0
23,##l,0
23,deprem,0
23,turk,3
23,##ey,4
23,[SEP],0
24,[CLS],1
24,ni,0
24,##l,6
24,alın,0
24,bir,0
24,##ce,0
24,bebekler,0
24,saatler,0
24,##dir,0
24,enkaz,0
24,altında,0
24,lütfen,0
24,yardım,0
24,edin,0
24,75,3
24,##yıl,4
24,##bul,4
24,##varı,4
24,og,4
24,##ün,4
24,ap,4
24,##t,4
24,ant,4
24,##ak,4
24,##ya,4
24,hata,1
24,##y,2
24,turk,3
24,##ey,4
24,enkaz,0
24,deprem,0
24,hata,1
24,##y,2
24,af,3
24,##ad,4
24,##hat,4
24,##ay,4
24,ah,3
24,##bap,4
24,##hat,4
24,##ay,4
24,af,3
24,##ad,4
24,##hat,4
24,##ay,4
24,[SEP],0
25,[CLS],0
25,eski,0
25,s,0
25,##sk,0
25,acil,0
25,çıkışı,0
25,karşı,0
25,##sı,0
25,emek,3
25,eczan,4
25,##esi,4
25,üstü,0
25,is,1
25,##kender,2
25,##un,2
25,##hat,6
25,##ay,6
25,arkadaşımız,0
25,cen,5
25,##giz,6
25,emr,5
25,##e,6
25,büyük,6
25,##er,6
25,##dem,6
25,ve,0
25,ailesi,0
25,hala,0
25,enkaz,0
25,altında,0
25,saatler,0
25,##dir,0
25,haber,0
25,alına,0
25,##mıyor,0
25,çok,0
25,acil,0
25,yardım,0
25,gitmesi,0
25,gerekiyor,0
25,af,0
25,##ad,0
25,af,1
25,##ad,2
25,##hat,2
25,##ay,2
25,deprem,0
25,turk,3
25,##ey,4
25,enkaz,0
25,##altında,0
25,[SEP],0
26,[CLS],1
26,oda,3
26,##başı,4
26,mahallesi,4
26,fu,4
26,##at,4
26,koku,4
26,sitesi,4
26,b,4
26,blok,4
26,kat,4
26,6,4
26,daire,4
26,17,4
26,hata,1
26,##yan,2
26,##tak,4
26,##ya,2
26,hil,5
26,##al,6
26,sub,6
26,##aşı,6
26,ali,5
26,kemal,6
26,sub,6
26,##aşı,6
26,enkaz,0
26,altında,0
26,##lar,0
26,yardım,0
26,edin,0
26,lütfen,0
26,deprem,0
26,turk,3
26,##ey,4
26,hata,1
26,##y,2
26,ant,3
26,##ak,4
26,##ya,4
26,turk,4
26,##ey,4
26,o,3
26,##hal,4
26,af,0
26,##ad,0
26,af,1
26,##ad,0
26,##hat,2
26,##ay,2
26,af,0
26,##adde,0
26,##pr,0
26,##em,0
26,sonda,0
26,##ki,0
26,##ka,0
26,hata,1
26,##yy,2
26,##ardı,0
26,##m,0
26,##bek,0
26,##liyor,0
26,sonda,0
26,##ki,0
26,##ka,0
26,##de,0
26,##pr,0
26,##em,0
26,[SEP],0
27,[CLS],1
27,kahraman,1
27,##maraş,2
27,##sal,2
27,##ı,4
27,bey,4
27,mahallesi,4
27,##arik,4
27,##an,4
27,otel,4
27,murat,5
27,kısa,6
27,##aya,6
27,##k,6
27,iletişim,0
27,##0,0
27,##54,0
27,##6,0
27,91,0
27,##1,4
27,77,0
27,72,0
27,sonda,0
27,##ki,0
27,##ka,0
27,deprem,0
27,turk,0
27,##ey,0
27,enkaz,0
27,##altında,0
27,##yım,0
27,enkaz,0
27,##altında,0
27,##yım,0
27,pr,0
27,##ay,0
27,##for,0
27,##tur,0
27,##key,0
27,seferber,0
27,##lik,0
27,türkiye,0
27,deprem,0
27,yardım,0
27,##elin,0
27,yardım,0
27,istanbul,1
27,hata,1
27,##y,2
27,##de,0
27,##pr,0
27,##emi,0
27,af,3
27,##ad,2
27,af,3
27,##ad,4
27,##hat,2
27,##ay,2
27,mar,1
27,##aş,2
27,kahraman,1
27,##mara,2
27,##saf,2
27,##ad,2
27,[SEP],0
28,[CLS],1
28,belediye,0
28,şok,3
28,cumhuriyet,4
28,mah,4
28,barış,4
28,ap,4
28,##t,4
28,hata,1
28,##ysa,4
28,##man,4
28,##dağ,4
28,hata,1
28,##y,2
28,turk,3
28,##ey,4
28,deprem,0
28,af,3
28,##ad,4
28,##hat,4
28,##ay,4
28,deprem,0
28,##da,4
28,##ire,4
28,##si,4
28,oğ,5
28,##uz,6
28,##han,6
28,##ug,6
28,##ür,6
28,ah,3
28,##bap,4
28,[SEP],0
29,[CLS],1
29,arkadaşlar,0
29,yaya,0
29,##lım,0
29,acil,0
29,general,3
29,şük,4
29,##rü,4
29,kanat,4
29,##lı,4
29,mah,4
29,fev,4
29,##zi,4
29,paşa,4
29,cadde,4
29,##si,4
29,ince,4
29,##su,4
29,apartman,4
29,##ı,4
29,daire,4
29,3,4
29,ant,4
29,##ak,4
29,##ya,4
29,hata,1
29,##y,2
29,acil,0
29,seferber,0
29,##lik,0
29,deprem,0
29,aç,0
29,##ilya,0
29,##rd,0
29,##ım,0
29,adı,1
29,##yaman,2
29,af,1
29,##ad,2
29,af,1
29,##ada,2
29,##dı,2
29,##yaman,2
29,af,1
29,##ad,2
29,##hat,4
29,##ay,2
29,enkaz,0
29,sonda,0
29,##ki,0
29,##ka,0
29,deprem,0
29,##adı,1
29,##yaman,2
29,adı,1
29,##yaman,2
29,##yar,0
29,##dım,0
29,##bek,0
29,##liyor,0
29,elbis,3
29,##tan,4
29,turk,3
29,##ey,4
29,af,3
29,##ad,2
29,##hat,2
29,##ay,2
29,[SEP],0
30,[CLS],0
30,gazi,1
30,##antep,2
30,çarşı,0
30,p,0
30,##tt,0
30,şube,0
30,yani,0
30,acil,0
30,yaya,0
30,##lım,0
30,yeni,0
30,bir,0
30,bina,0
30,çök,0
30,##tü,0
30,deprem,0
30,turk,0
30,##ey,0
30,enkaz,0
30,##altında,0
30,##yım,0
30,hata,1
30,##y,2
30,##de,0
30,##pr,0
30,##em,0
30,o,0
30,##hal,0
30,seferber,0
30,##lik,0
30,elbis,3
30,##tan,4
30,hata,1
30,##yy,0
30,##ardı,0
30,##m,0
30,##bek,0
30,##liyor,0
30,af,0
30,##ad,0
30,pr,0
30,##ay,0
30,##for,0
30,##tur,0
30,##key,0
30,enkaz,0
30,##altında,0
30,##yım,0
30,is,3
30,##kender,4
30,##un,4
30,[SEP],0
31,[CLS],0
31,gazi,1
31,##antep,2
31,çarşı,0
31,p,0
31,##tt,0
31,şube,0
31,yani,0
31,acil,0
31,yaya,0
31,##lım,0
31,yeni,0
31,bir,0
31,bina,0
31,çök,0
31,##tü,0
31,deprem,0
31,turk,0
31,##ey,0
31,enkaz,0
31,##altında,0
31,##yım,0
31,hata,1
31,##y,2
31,##de,0
31,##pr,0
31,##em,0
31,o,0
31,##hal,0
31,seferber,0
31,##lik,0
31,elbis,3
31,##tan,4
31,hata,1
31,##yy,0
31,##ardı,0
31,##m,0
31,##bek,0
31,##liyor,0
31,af,0
31,##ad,0
31,pr,0
31,##ay,0
31,##for,0
31,##tur,0
31,##key,0
31,enkaz,0
31,##altında,0
31,##yım,0
31,is,3
31,##kender,4
31,##un,4
31,[SEP],0
32,[CLS],6
32,yardım,0
32,çağrısı,0
32,müc,5
32,##ahit,6
32,tun,6
32,##ç,6
32,kasım,5
32,tun,6
32,##ç,6
32,hali,5
32,##me,6
32,tun,6
32,##ç,6
32,malat,1
32,##ya,2
32,bat,3
32,##tal,4
32,##gazi,4
32,kö,4
32,##sn,4
32,##ük,4
32,mahallesi,4
32,ek,4
32,##ol,4
32,sokak,4
32,bayrak,4
32,sitesi,4
32,af,4
32,##ad,4
32,deprem,0
32,malat,1
32,##ya,2
32,turk,2
32,##ey,4
32,[SEP],0
33,[CLS],0
33,arkadaşım,0
33,yağmur,5
33,ela,3
33,hata,1
33,##y,2
33,##kırı,4
33,##k,4
33,##han,4
