,Tweets,Class
22,depremkahramanmaraş ahbap halüklevent piazza avm karşısı mega park yani clarin otel yani altın köşk apt kahramanmaraş haberi olan var mı yakınlarımız orada ulaşamıyorum nurdağı acil earthquake enkaz,1
23,hatay antakya general şükrü kanatlı mahallesi fevzi paşa caddesi no 24 daire 4 elif apartmanı nezahat tekyıldız fikriyenur tekyıldız mehmet erdem tekyıldız fikriye tekyıldız efe tekyıldız deprem acil enkaz hataydeprem afadhatay afaddeprem afadlardım gaziantep turkey,1
24,yavuz selim mahallesi 603 sokak no1 kapı no 6 merkez adıyaman pektaş apartmanı abuzer fatih karalar enkaz altında yardım bekliyor genç öğrenci depremoldu deprem adıyamanafad afad afaddeprem earthquake adıyamandeprem,1
25,asker olan bir arkadaş tek kalıyor ve haber alınamıyor ismi tayfun adak mezbane caddesi no67 a blok kat 1 daire zaman apartmanı islahiye gaziantep acil gaziantep earthquake depremde turkey afaddeprem afadgaziantep,1
26,barbaros mah ibrahim karaoğlanoğlu cd 24b 31200 iskendurunhatay iskenderunda kuzenimin binası yıkılmış kuzenim nerede bilmiyoruz ne olur yardım edin ulaşılamıyor hatay iskenderun afad afaddeprem deprem adana acil earthquake adanadepremm,1
27,atatürk bulvarı yani 02290 adıyaman merkezadıyaman şu anda göçük altında bulunan yakınlarımız var bize yardımcı olabilir misiniz paylaşım yapabilir misiniz deprem adıyaman acil earthquake turkey enkaz depremdairesi afadadıyaman,1
28,aalıl65469074 hatay alevler mahallesi torunlar apt bedii sabuncu okulu karşısı kuzenlerimden haber alamıyorum apartmanla ilgili gören ulaşan herhangi haber alan olursa lütfen ulaştırınız adları fikirmustafa deprem antakya hatay depremoldu afad earthquake pqueenn afadtürkiye,1
29,beşnidenhaber adıyamanbeşniyenikentkaymakam hasan tütün mahhallesisekip önder caddesi üzümlü kent b blok 5 katlı bina yıkıldı yakınlarımız göçük altındalar ekipler hala ulaşamamışsesler geliyormuş allah rızası için paylaşınacıl yardım deprem afad acil turkey,1
30,arkadaşımız saatlerdir enkazın altında ekipler gelmemiş kimseye ulaşamıyoruz lütfen yardım edin deprem nurdağı gaziantep afaddeprem afadgaziantep yardım acil earthquake depremoldu,1
31,adıyaman merkez cumhuriyet mahallesi 2596 sokak destek hala gelmedi arkadaşlarım enkaz altında en az 3 aile vardeprem acil earthquake turkey enkazaltındayım afadadıyaman adıyaman enkaz,1
32,yardım edin akrabalarımız enkaz altında halen bahçelievler mahallesi eski kahta caddesi no 130 adıyamanmerkez deprem adıyaman acil turkey enkaz afaddeprem enkazaltındayım enkazaltındayım,1
33,adıyaman besni bu binada 15 kişi olduğu tahmin ediliyor yardım bekliyorlar allah rızası için duyuralımacıl afad turkey,1
34,şarjım bitmek üzere afad halen gelmedi hatay antakya ürgenpaşa mahallesi 18 sokak filiz apt no 10 babamın ayağı kırık bekliyoruz deprem nurdağı gaziantep acil turkey iskenderun enkaz mersındeprem enkazaltındayım adana afad,1
35,cumhuriyet mahallesi atatürk caddesi no112 hatay kırıkhan esra bilkaya ulaşamıyoruz ne olur yardım edin deprem kahramanmaraş gaziantep hatay malatya afad earthquake denizmymgrcktn,1
36,gaziantepnurdağı eski oyun salonu üstü winrar market arkası fırının tam yani yeşil bina yardım edin deprem acil gaziantep nurdağı enkaz turkey enkazaltındayım afaddeprem afadbaşkanlık depremdairesi,1
37,gaziantep te iki kuzenime ulaşılamıyor adres aşağıda yazıyor bilgisi olan varsa haber edebilir mi gaziantep afadhatay nurdağı acil enkaz earthquake sondakika kahramanmaraş şanlıurfa,1
38,oğuzhanugür islahiye ye hala arama kurtarma gelemedi binlerce kişi can çekişiyor köylerde yollar kapalı hastane gitse kurtulacak kişiler köyde ölümü bekliyor ıslahıyebelediyesi afaddeprem acil rterdoğan turkey,1
39,lütfen yayalım aysıma elmas hacıbebekoğlu ve ailesine ulaşamıyoruz ilgili ekiplerin yönlendirilmesini talep ediyoruz kayabaşı mah gazi demircioğlu cad atabey apartmanı 216 dülkadiroğlukahramanmaraş acil açıldurum afaddeprem depremioldu turkey kahramanmaraş,1
40,acıyan sineceğiz inlice köyü enkaz altında yardım gidemiyor kar yağmur durum çok kötü ölü sayısı çok fazla oğuzhanugür adıyaman depremadıyaman deprem acil gaziantep turkey enkazaltındayım ahbap ahbapadıyaman ahbap_adıyaman haluk halüklevent ahbap yardım,1
41,grahamlıca metin bahadır nilgün bahadır gaye cemre bahadır haber alamıyorum atatürk cad general şükrü kanatlı mah nazik apt 631 antakya hatay earthquake hataydeprem antakya afaddeprem afad,1
42,çok acil hatay iskenderünsadık ahmet caddesi işlenderun belediye garajının tam karşısı enkaz altında aileler var lütfen destek çağrıları oluşturalım haber alamıyoruz hataydeprem afad acil iskenderun enkaz turkey enkazaltındayım,1
43,antakya ergen paşa mahallesi yüzbaşı asım caddesi altunkaya apartmanı antakya hatay bina tamamen göçük 1 katta yengem dayım ve 4 çocuğu altında kaldı haber alamıyoruz telefonlarına ulaşılamıyor lütfen yayalım halüklevent oğuzhanugür danlabilic hatay deprem afad turkey,1
44,hatay iskenderun mustafa kemal mahallesi enkaz altında çok insan var acil yardım gönderilsin depremini hataydeprem acil hatayafad hatayvalılığı iskenderun enkaz turkey enkaz,1
45,kahramanmaraş istiklalsporun bazı futbolcuları tesis binasının yıkılması sonucunda enkaz altında kaldı yardım edin afad gaziantep malatya hatay diyarbakır kahramanmaraş deprem earthquake adıyaman şanlıurfa sondakika haarp,1
46,hatay kırıkhanda yardıma ihtiyaç var deprem enkaz afad acil turkey,1
47,kuzenim ve ailesi göçük altında lütfen yardım edin kimse gelmiyor kimse yok duyun sesimizi 7 yetişkin 4 çocuk var enkazda hatay alevler mah 3 alan sokak gül apartmanı bina no 12 depremoldu hatay deprem afad malatya enkazaltındayım acil earthquake ahbap deprem,1
48,acil ailem 12 kişi enkaz altında biraz önce amcama iletişim geçtim yardım bekliyorlar adres emek mah bahçeli sk no bina 493 merkez antakya hatay depremoldu acil hatay depremhatay hataydeprem afad afadhatay ne olur paylaşın turkey,1
49,kahramanmaraşta enkaz altında 5 kişi haber alınamıyor feyza zeynep dağ berra belinay dağ emine neva dağ gülbahar dağ erdoğan dağ dulkadiroğlu ilçesi kayabaşı mahallesi gazidemircioğlu caddesi atabey apt deprem turkey kahramanmaraş malatya şanlıurfa gaziantep afad acil,1
50,acil yardım hatayantakya akasya mahallesi ayşe fitnat ortaokulunun civarında yıkılan bir bina var enkaz altında kalanların sesi geliyor acil yardım lazım depremoldu afad hatay antakya earthquake afadbaşkanlık gaziantep malatya kahramanmaraş,1
51,arkadaşımız bünyamin kayacık ve ailesine ulaşamıyoruz hatayantakya alevler mahallesi 432sokak no71 enkaz altında kalmış olabilir acil yardım afaddeprem afadhatay yardım hataydeprem turkey afadlardım afadantakya,1
52,arkadaşımızın amcası özhan köşeden haber alamıyoruz ulaşamıyoruz kendisine ulaşamıyoruz ne olur yardım edin adresi odabaşı mahallesi kanguru sokak özgür apartmanı no 2 kat 3 daire 20 hatay yardımlarınızı bekliyoruz çok acil hataydeprem enkaz earthquake afad,1
53,mehmet bölükbaşı ve ailesi kahramanmaraş sazibey mah ebrar sitesiz blok piazza avm yakını göçük altındalar acil destek lütfen lütfen paylaşın orada kimse yokmuş kahramanmaraş turkey acil deprem kahramanmarasdeprem pazarcık enkaz afaddeprem afad afadkahramanmaras,1
54,halüklevent çay mahallesi sokak no12 tekin apt iskenderunhatay iskenderun ahbap acil turkey enkazaltındayım afadhatay,1
55,güzelbirlik mahallesi 600 konutlar sitesi 38 blok kat no 7 antakyahatay melis akına ulaşamıyoruz deprem hatay antakya yardım turkey acil afaddeprem,1
56,sınıf arkadaşımız sema huddur hatayda kendisinden haber alınamıyor maşuklu mahallesi ceviz sokak no 51 deprem turkey afadhatay,1
57,yardım çağrısı adana yurt mahallesi 71477 sokak eray apt kat lütfen yardım edin yardım çağrısı memiş özdal mahallesi 320 nolu sokak veli sarıoğlu apartmanı no 11 daire 18 pazzrcik kahramanmaraş acil turkey afaddeprem umke halüklevent,1
58,hala haber alamadık babam ağır kalp hastası ve yarı engelli desteksiz enkaz altından çıkamaz lütfen yardım edin hatay600 konutlar güzelburç deprem hatay gaziantep turkey enkaz enkazaltındayım acil afaddeprem halüklevent,1
59,yardım çağrısı adıyamangölbaşı öztekin apartmanında ailem mahsur kaldı yakın olanlar acil yardım edin yayalım arkadaşlar lütfen acil depremde afaddeprem halüklevent depremgaziantep enkaz yardım turkey yardımelin afadlardım umke,1
60,sümerler mahallesi 1653sokak 1fakioğlu apartmanından defnehatay haber alamıyoruz yakında olan apartmanın durumunu bilen lütfen yardımcı olsun lütfen acil deprem hataydeprem earthquake iskenderun depremoldu afad,1
61,enkaz altında kalanlar var yardım edin hatayantakya ulu cami mahallesi payas sokak no11 turkey deprem hataydeprem yardım acil enkaz antakya afaddeprem afadhatay ahbaphatay afadhatay afadbaşkanlık alnıopüleşitivt halüklevent oğuzhanugür solcuğazete,1
62,çağrı subaşı mahallesi inönü caddesi ardıç sokak no 1 kat 3 hatay defne anne ve iki aylık bebekten haber alınamıyor lütfen paylaşalım afadhatay turkey acil,1
63,arkadaşım yusuf yalçın enkaz altında ulaşamıyoruz ne olur yardım edin esentepe mahallesi hasan sokak yalçın 1 apartmanı hatay antakya hatay deprem kahramanmaraş afad şanlıurfa acil enkazaltındayım depremoldu earthquake afadbaşkanlık depremdairesi ahbap,1
64,adıyamanyavuz selim mahallesi 610 sokak no 4 feride dağ kadir dağ enkaz altındalar ulaşılamıyor adıyaman depremoldu enkazaltındayım afad earthquake acil enkaz deprem afadbaşkanlık afadadıyaman adıyamanbeltr,1
65,dulkadiroğlu afaddeprem afadkahramanmaraş acil turkey enkazaltındayım enkaz menderes mah trabzon cad mis ap dulkadiroğlu kahramanmaraş leyla eren ve ailesinden haber alamıyoruz göçük altında olduğu bilgisini vermiş kendisine ve ailesine ulaşamıyoruz,1
66,konum eray apartmanı 12kat özal dermansan tıp merkezi karşısında kaya perde arkasında ömre öz kendi ömre öz 90 539 612 66 60 annesi sibel öz 90 535 344 17 91 babası mahmut öz enkaz altındalar acil turkey enkaz adanadeprem afaddeprem afadlardım afad,1
67,metin bahadır nilgün bahadır gaye cemre bahadır haber alamıyorum atatürk cad general şükrü kanatlı mah nazik apt 631 antakya hatay earthquake hataydeprem antakya afaddeprem afad,1
68,hatay iskenderun sakarya mah sakarya sitesi tosyalı cami karşısı deprem olduğundan beri ekip yok lütfen yardım ve ekip gönderin afad deprem earthquake hatay antep maraş diyarbakır malatya,1
69,kendinemuzisyen istasyon mahallesi stadyum bulvarı no 11 dulkadiroğlu kahramanmaraş deprem afad turkey enkaz,1
70,kahramanmaraş dulkadiroğlu sümer mahallesi 62025 sokak no322 melike saritürk ve ailesine ulaşamıyoruz deprem kahramanmaraş acil afaddeprem turkey,1
71,kahramanmaraş sütçü imam mahallesi mehtap apartmanı 7 katlı bina çöktü acil yardım bekliyoruz göçük altında kalanlar için afaddeprem afadkahramanmaraş acil earthquake enkaz enkazaltındayım rterdoğan kahramanmarasdepremi,1
72,odabaşı mahallesi 1022 sokak dağ apartman hatayantakya arkadaşımız sevda dağ ve ailesine ulaşamıyoruz yardımlarınızı bekliyoruz acil afadhatay iskenderun turkey hataydeprem halüklevent açıldurum depremhatay deprem,1
73,odabaşı mahallesi ataner kışlalı caddesi rende esenpark evleri blok15 no13 antakyahatay deprem afad turkey erzak,1
74,fakültemizin mezunlarından buşenur tolukesenden haber alınamamakta kurtuluş mahallesi hatuniye caddesi kapı no 464 kat 3 kurtuluş mahallesi muhtarlığı aşağısındaki 3 katlı bina dulkadiroğlu kahramanmaraş kahramanmaraş acil yardım afaddeprem afadkahramanmaraş turkey,1
75,arkadaşımıza ulaşamıyoruz depremden beri ortada yok adresi bu o civarlarda olan duyan bilen var mı ismet paşa mahazerbeycanlılar kelli apt kat 7 dulkadiroğlu maraş deprem gaziantep kahramanmaraş turkey iskenderun afaddeprem halüklevent,1
76,hatay samandağ ilçesine neden yardım gitmiyor sahil güvenlikten başka kimse yok neden yardım gitmiyor heryer enkaz altında turkey deprem acil açilyardım enkazaltındayım iskenderun afad afadhatay,1
77,halüklevent alınası mahallesi 1207 sokak no9 kanarya apartmanı adıyaman merkez valilik arkası enkaz altında insanlar var deprem depremoldu acil enkazaltındayım afad earthquake enkazaltındayım gülay semercioğlu esma demez muazzez demez,1
78,hatay kırıkhan yardım edin afaddeprem hataydeprem depremgaziantep turkey,1
79,malatya yeşilyurt shell yani yıkılan trend garden residence binasında kalan kuzenlerim den haber alamıyoruz bilgisi olan yazsın lütfen nazan tüsak süleyman baltacı malatya afad halüklevent afaddeprem acil enkaz enkazaltındayım turkey,1
80,şarjım bitmek üzere afad halen gelmedi hatay antakya ürgenpaşa mahallesi 18 sokak filiz apt no 10 babamın ayağı kırık bekliyoruz turkey earthquake hataydeprem deprem afaddeprem afadbaşkanlık akut_derneği bgyether,1
81,acil hataydeprem hatay kırıkhan bölgesinde yardım yokmuş lütfen yardım ulaştırınız earthquake enkaz afaddeprem,1
82,hatay samandağdaki evlerin çoğu yıkıldı saatler geçti hala afad yok yollar yüzünden gelemiyorlarhalk kendiliğinden bir şeyler yapmaya çalışıyor ama bir yere kadarsız konusu insan canı yetkili birimlere ulaşalım lütfen hatayantakya deprem turkey defne acil afadhatay,1
83,malatya yeşilyurt tevfik temelli caddesi şok market henüz yardım gitmemiş ve enkaz altında insanlar var rt yapalım lütfen deprem sondakika kahramanmaraş malatya afad earthquake,1
84,hatay antakya küçükdalyan atatürk istiklal caddesi ezgi sokak simay balaban ve ailesi kahramanmaraş acil turkey hataydeprem deprem sondakika enkaz enkazaltındayım adanadeprem afaddeprem afadhatay depremde sondakikadeprem,1
85,on iki şubat kahramanmaraş şehit abdullah çavuş mahallesi ismete karaokur bulvarı hamidiye sitesinde melek kalay ve zeynep kalay enkaz altındadır saatlerdir ulaşamıyoruz lütfen onlara yardım edin kahramanmaraş deprem acil enkaz turkey afaddeprem enkazaltındayım,1
86,elif seçmen alevler mahallesi 432 sokak yavuz aslan apartmanı b blok kat 8 no 17 antakya hatay acil arkadaşlar enkaz altındalar ulaşamıyoruz acil hataydeprem afadhatay kahramanmaraş turkey earthquake nurdağı,1
87,hatay samandağ haber alınamayan onlarca belki yüzlerce insan var hataydeprem samandağı turkey afaddeprem,1
88,sümerler mh şehit ali karasal caddesi e4 hatay esra yabancı whatsappta sabah 8 saatlerinde göçük altında olduğuna dahil paylaşımda bulunmuş hatay ili lütfen paylaşalım hataydeprem acil enkaz gaziantep nurdağı turkey afadhatay afaddeprem afadbaşkanlık afadhatay,1
89,adana çukurovada yardım lazım ekipler bağırıyor vinç için lütfen yardımcı olun acil turkey earthquake enkaz adanadeprem kahramanmaraş afaddeprem zeydankaralar01,1
90,hatay antakya elektrik mahallesi çekmece cadde75yıl caddesi köşem apartmanı no 39 gezi anadolu lise yakını bu bölgelerde arkadaşımın ev dayısının evi yıkılmış turkey afaddeprem earthquake acil enkaz,1
91,ulaşamıyoruz yunus emre mah 76006 sk 1324 kahramanmarasonikisubat nehir dönmez deprem afaddeprem kahramanmaraş earthquake depremkahramanmaras,1
92,insanlar kendi imkanlarıyla 2 kişiyi çıkardı acil yardım lazım ekipler yok adıyaman siteler mahallesi yenice apartmanı deprem acil afad akut adıyaman kahramanmaraş turkey,1
93,ergen paşa mahallesi 15 sokak bilgin apartmanı antakya hatay annem bu adreste göçük altında bu adrese acil yardım lazım ulaşabilenler lütfen yardımcı olun deprem hatay gaziantep afad acil earthquake kayseri adana şanlıurfadeprem,1
94,yalvarırım turunçluya yardım gönderin acil turkey iskenderun enkaz enkazaltındayım hataydeprem hatay afadhatay depremdairesi afadhatay,1
95,cumhuriyet mahallesi 30 ağustos caddesi yaşamkent apartman a blok merkez adıyaman hala yardım gelmedi yardım edin ne olur acil depremgaziantep adıyaman afad earthquake depremoldu depremkahramanmaras,1
96,acil yardım gerekli acil enkaz gaziantep nurdağı sondakika turkey halüklevent afaddeprem,1
97,lütfen yayalım yardımcı olum kahramanmaraş kız öğrenci yurdu 20 kişi enkaz altında lütfen yardım edin gaziantep kahramanmaraş afet afad depremkahramanmaraş earthquake afadkahramanmaras,1
98,odabaşı mahallesi 1022 sokak dağ apartman hatayantakya arkadaşımız sevda dağ ve ailesinden haber alamıyoruz lütfen paylaşır mısınız acil afaddeprem hataydeprem afadhatay enkazaltındayım iskenderun göçukaltındayım turkey afaddeprem hatayantakya hataydeprem afad,1
99,göçük altında kalan akrabalarım var lütfen yardım eder misiniz mustafa kemal mahallesi hasan ali yücel caddesi birikim apartmanı no51 iskenderun hatay iskenderun hataydeprem turkey afad acil docdrlutfusavaş halüklevent oğuzhanugür,1
100,hatay antakya fatih caddesi cebrail mahallesi ikinci varlık sokak şenel apartmanı ayten bolata ulaşamıyoruz lütfen oraya yakın olanlar haber versin acil turkey hataydeprem afaddeprem gaziantep kahramanmaraş iskenderun şanlıurfa,1
101,deprem afad kahramanmaraş turkey enkaz acil destek lazım afad yökbölgede arkadaşımız kaldı içerde ailesi çıkabildi ama ondan haber yok lütfen yardım edin ahmet bozdağı mah ahmet aksu cad kapı no 5 kahramanmaraş pazarcık acil destek lazım,1
102,arkadaşımın yakını şu an enkaz altında evde dört kişilermiş adıyaman bozbey caddesi vagon market arkası enkaz deprem turkey afaddeprem mardin diyarbakır afadadıyaman,1
103,hatayantakya odabaşı mahallesi kavuka sokak akademi sitesi a blok kat daire 5 bilgi alabilir miyiz ulaşamıyoruz deprem enkaz afaddeprem afadantakya turkey acil içişleribalanlığı,1
104,odabaşı mahallesi 1022 sokak dağ apartman hatayantakya arkadaşımız sevda dağ ve ailesine ulaşamıyoruz yardımlarınızı bekliyoruz acil afadhatay iskenderun turkey hataydeprem halüklevent açıldurum,1
105,hayrullah mahallesi 27 sokak didem apartmanı 12 şubat kahramanmaraş 7 katlı binaları yıkıldı ailemden haber alamıyoruz lütfen duyurun yeter öztürk nergiz ceren tuncer acil kahramanmaraş enkaz yardım afad deprem sondakika turkey,1
106,duyun sesimizi lütfen kahramanmaraş malik ejder caddesi aknizam apartmanı 51 yaşında adalet sen kızı ve 1 yaşında torunu yardım edin lütfen haber alamıyoruz earthquake maraş kahramanmaraş afad afaddeprem depremdairesi afadbaşkanlık afadkmaraş yardım edelim,1
107,arkadaşlar bu adresteki öğrencimiz ali söylere ulaşamıyoruz hayrullah mah 33008 sk no 10 iç kapı no 08 onikişubat kahramanmaraş earthquake deprem afad afadbaşkanlık acil yayalım,1
108,arkadaşımıza yardım edelim paylaşın yayalım serinyol mahallesi hatay caddesi kavak apt 108 k hatayantakya enkazaltındayım acil hatay antakya afad turkey depremoldu,1
109,barbaros mah ibrahim karaoğlanoğlu cd 24b 31200 iskendurunhatay iskenderunda kuzenimin binası yıkılmış kuzenim nerede bilmiyoruz ne olur yardım edin ulaşılamıyor hatay iskenderun afad afaddeprem deprem adana acil earthquake adanadeprem,1
110,duyun sesimizi lütfen kahramanmaraş malik ejder caddesi aknizam apartmanı 51 yaşında adalet sen kızı ve 1 yaşında torunu yardım edin lütfen haber alamıyoruz earthquake maraş kahramanmaraş afad afaddeprem depremdairesi afadbaşkanlık afadkmaras,1
111,yavuz selim mahallesi 601 sokak elif apartmanı adıyamanmerkez halk eğitim merkezi karşısı küçük kız ve hamile kadın da varmış yayalım afadbaşkanlık depremdairesi halüklevent deprem depremoldu afad afaddeprem göçük adıyaman turkey eartquake acil,1
112,kışla saray mahallesi sırrı hocaoğlu sokak rana apartmanı hatay antakya yakınlarımız göçük altında tüm bina çökmüş durumda lütfen acil destek ekipleri acil yardımlarınızı bekliyorlar acil depremhatay afadhatay ahbaphatay turkey iskenderun enkaz enkazaltındayım,1
113,yeni mahalle 2638 şok koşu parkının üst tarafı umut kent sitesi enkaz altında ablam eniştem ve yeğenlerim var hala afad ekibi gitmemiş lütfen yardım edin lütfen deprem ahbap adıyamandeprem afaddeprem afadadıyaman sondakika acil yardımelin yardım turkey,1
114,duyun sesimizi lütfen kahramanmaraş malik ejder caddesi aknizam apartmanı 51 yaşında adalet sen kızı ve 1 yaşında torunu yardım edin lütfen haber alamıyoruz earthquake maraş kahramanmaraş afad afaddeprem depremdairesi afadbaşkanlık afadkmaras,1
115,duyun sesimizi lütfen kahramanmaraş malik ejder caddesi aknizam apartmanı 51 yaşında adalet sen kızı ve 1 yaşında torunu yardım edin lütfen haber alamıyoruz earthquake maraş kahramanmaraş afad afaddeprem depremdairesi afadbaşkanlık afadkmaras,1
116,arkadaşımızın annesine ve babasına ulaşamıyorkendisi yurt dışında bina gökmüş lütfen orada olanlar palasın bilen gören varsa cevap verin adla adres general şükrü kanatlı mahallesi vedi münir karabay sokak hataymerkez hatay afad earthquake deprem hatay ahbap,1
117,antakya defne hastanesi yıkılmış durum çok kötü 7 katta bebekler var yardım deprem hataydeprem antakya afaddeprem turkey afadbaşkanlık akut_derneği bgyether,1
118,deprem kahramanmaraş onikişubat volkandemirel acil turkey enkaz deprem afaddeprem enkaz altındalar piazza avm karşısındaki bina yardım edin 5 kişiler,1
119,şehit abdullah çavuş mahallesi tekerek yolu ismet karakuş bulvarı proton apartmanı onikişubat kahramanmaraş en az dört kişinin enkazda olduğu biliniyor yayabilir mısınız afadbaşkanlık depremdairesi halüklevent kahramanmaraş turkey depremkahramanmaraş afadkahramanmaras,1
120,sadık çeliker ve sevda çeliker göçük altında kaldılar ve ekipler hala gidememiş binada birçok kişi var alınası mahallesi saraybosna caddesi mercan kop b blok kat 4 no bir 15 merkez adıyaman ahbap halüklevent acil turkey enkaz,1
121,hatay antakya kışla saray mahallesi 2 şube sokak arkadaşım dan haber alamıyoruz bu mahallede den bilgisi olan varsa ulaşır mısın adı mehmet deprem deprem hatay acil afad turkey depremoldu gaziantep,1
122,acil 12 kişi enkaz altında biraz önce iletişim geçtim yardım bekliyorlar adres emek mah bahçeli sk no bina 493 merkez antakya hatay depremoldu acil hatay depremhatay hataydeprem afad afadhatay ne ölürse paylaşın turkey,1
123,göçük altındalar menekşe dönmezal bilkay şener bülent şener cebrail mah vali gazezoğlu caddesi hasan yılmaz apartmanı antakya turkey antakya afaddeprem acil afad depremoldu,1
124,islahiye zor durumda acil yardıma ihtiyaç var yaşayanlarda ölecek depremgaziantep halüklevent oğuzhanugür afadgaziantep gaziantep deprem turkey,1
125,antakya general şükrü kanatlı mah vedi münir karabay şok saraçoğlu apt haber alamıyoruz antakya hatay hataydeprem acil turkey afaddeprem afadhatay afadbaşkanlık afadhatay depremdairesi,1
126,sümerler sümerler mahallesi şükrü güçlü bulvarı defnehatayda tanıdığı iletişim kurabildiği birileri olan ulaşabilir mi afadhatay ahbaphatay deprem hatay afad earthquake defne,1
